platform,app,scenario,backbone,n,successes,mttr_mean_s,mttr_std_s,count_source
android,ankidroid,S1,qwen,5,4,64.4,9.1,batch summary
android,ankidroid,S1,llama,5,5,60.2,5.5,batch summary
android,ankidroid,S2,qwen,5,5,56.4,2.5,batch summary
android,ankidroid,S2,llama,5,5,54.2,3.5,batch summary
android,newpipe,S1,qwen,5,0,,,run log (summary not written)
android,newpipe,S1,llama,5,5,99.2,1.4,batch summary
android,newpipe,S2,qwen,5,5,102.1,2.3,batch summary
android,newpipe,S2,llama,5,5,101.6,3.1,batch summary
android,wikipedia,S1,qwen,5,0,,,run log (summary not written)
android,wikipedia,S1,llama,5,1,75.2,0.0,batch summary
android,wikipedia,S2,qwen,5,4,74.1,3.0,batch summary
android,wikipedia,S2,llama,5,3,77.7,6.3,batch summary
web,ghost,S1,qwen,5,5,31.6,2.4,batch summary
web,ghost,S1,llama,5,0,,,batch summary
web,ghost,S2,qwen,5,2,79.3,70.5,batch summary
web,ghost,S2,llama,5,0,,,batch summary
web,opencart,S1,qwen,5,2,119.3,17.2,batch summary
web,opencart,S1,llama,5,0,,,batch summary
web,opencart,S2,qwen,5,1,33.2,,batch summary
web,opencart,S2,llama,5,2,84.3,57.9,batch summary
web,taiga,S1,qwen,5,0,,,batch summary
web,taiga,S1,llama,5,0,,,batch summary
web,taiga,S2,qwen,5,0,,,batch summary
web,taiga,S2,llama,5,0,,,batch summary
